Kilométrage,Prix,Cluster
25550.0,23899.0,0
61900.0,9999.0,2
63590.0,15699.0,2
59616.0,14499.0,2
90900.0,9499.0,2
16215.0,24999.0,1
86055.0,9999.0,2
13904.0,16499.0,0
85915.0,12999.0,2
12065.0,28999.0,1
59057.0,17999.0,0
54705.0,17499.0,0
70200.0,13699.0,2
55043.0,21799.0,0
72918.0,12999.0,2
14391.0,22399.0,0
14372.0,22999.0,0
34947.0,15999.0,0
12772.0,22299.0,0
8048.0,19999.0,0
92446.0,20499.0,2
17853.0,24399.0,1
79263.0,13299.0,2
12322.0,15999.0,0
61426.0,14499.0,2
67325.0,13999.0,2
84507.0,20999.0,2
117265.0,20799.0,2
44535.0,15299.0,0
89280.0,18999.0,2
45715.0,10799.0,0
25633.0,17299.0,0
59935.0,14299.0,2
61412.0,16999.0,2
15088.0,17999.0,0
105815.0,18499.0,2
65905.0,13999.0,2
89909.0,18999.0,2
117724.0,14499.0,2
58428.0,14599.0,2
19460.0,24999.0,1
104764.0,14999.0,2
21864.0,29999.0,1
69315.0,13999.0,2
10665.0,17799.0,0
14323.0,13399.0,0
26366.0,30999.0,1
26905.0,12999.0,0
71037.0,12799.0,2
34852.0,21499.0,0
136185.0,18499.0,2
110231.0,10499.0,2
34155.0,12299.0,0
88550.0,10799.0,2
18699.0,17899.0,0
31567.0,15699.0,0
14105.0,13499.0,0
38956.0,27999.0,1
54657.0,11499.0,0
16676.0,18899.0,0
19434.0,22999.0,0
21057.0,28399.0,1
60758.0,14999.0,2
13762.0,25199.0,1
15520.0,13399.0,0
63003.0,17999.0,2
13088.0,16499.0,0
70755.0,13799.0,2
17688.0,15399.0,0
78870.0,11999.0,2
14509.0,17499.0,0
23162.0,24199.0,1
30482.0,20499.0,0
45963.0,12799.0,0
109310.0,12999.0,2
39925.0,10999.0,0
28500.0,11999.0,0
21801.0,18699.0,0
35180.0,20999.0,0
13390.0,13999.0,0
136860.0,12999.0,2
76511.0,15299.0,2
73355.0,14299.0,2
10035.0,14999.0,0
138347.0,21999.0,2
8772.0,15499.0,0
16125.0,13499.0,0
31720.0,21499.0,0
120719.0,10599.0,2
90645.0,11799.0,2
41137.0,11999.0,0
16590.0,15899.0,0
113487.0,11499.0,2
63288.0,12499.0,2
28135.0,18999.0,0
13551.0,16999.0,0
53730.0,11499.0,0
43010.0,16299.0,0
90034.0,13999.0,2
53104.0,11799.0,0
25100.0,16599.0,0
22980.0,21999.0,0
85643.0,13499.0,2
24805.0,14999.0,0
59235.0,12399.0,2
42529.0,9499.0,0
49967.0,11299.0,0
12177.0,28999.0,1
80090.0,22699.0,2
148069.0,14499.0,2
78065.0,11999.0,2
17802.0,19199.0,0
15419.0,15999.0,0
76859.0,12299.0,2
26241.0,13999.0,0
55715.0,12699.0,0
55420.0,12699.0,0
56840.0,12499.0,2
4834.0,15499.0,0
24888.0,20499.0,0
19244.0,15399.0,0
47840.0,12799.0,0
48160.0,12799.0,0
11908.0,16399.0,0
66442.0,9499.0,2
15200.0,16399.0,0
19399.0,17199.0,0
18109.0,16399.0,0
10103.0,15499.0,0
90569.0,8999.0,2
40821.0,13499.0,0
28534.0,21599.0,0
108641.0,15199.0,2
97715.0,9799.0,2
26216.0,16399.0,0
13235.0,33499.0,1
40660.0,19799.0,0
49320.0,14299.0,0
42531.0,12999.0,0
62703.0,15999.0,2
22912.0,18999.0,0
115605.0,10999.0,2
83930.0,11499.0,2
11235.0,13999.0,0
33750.0,16499.0,0
10327.0,27999.0,1
53928.0,12299.0,0
66755.0,10999.0,2
61343.0,17499.0,2
12320.0,17499.0,0
49439.0,13999.0,0
30581.0,15299.0,0
15080.0,28799.0,1
10.0,23299.0,1
20534.0,16699.0,0
59736.0,10999.0,2
2475.0,33299.0,1
69005.0,12999.0,2
98777.0,14299.0,2
99935.0,11299.0,2
51250.0,20499.0,0
17931.0,16899.0,0
29636.0,20999.0,0
135925.0,22999.0,2
38610.0,19499.0,0
3213.0,24999.0,1
26061.0,22499.0,0
66605.0,15299.0,2
27252.0,13999.0,0
35993.0,15999.0,0
37923.0,15499.0,0
6386.0,22399.0,0
30464.0,24999.0,1
38789.0,25499.0,1
76250.0,22499.0,2
71245.0,18999.0,2
26715.0,13799.0,0
42179.0,23999.0,0
32056.0,15999.0,0
1738.0,33499.0,1
25519.0,18499.0,0
41811.0,12999.0,0
61660.0,12799.0,2
8400.0,24999.0,1
15885.0,37799.0,1
15742.0,22099.0,0
38245.0,15999.0,0
33525.0,23799.0,0
22130.0,27999.0,1
83536.0,16999.0,2
48700.0,13999.0,0
35623.0,28499.0,1
69047.0,16999.0,2
34895.0,26499.0,1
78680.0,23999.0,2
34631.0,16999.0,0
68085.0,10699.0,2
90735.0,8999.0,2
84706.0,14499.0,2
